speakerId,firstName,lastName,party,fraction
11005230,Hanna,Steinmüller,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005237,Awet,Tesfaiesus,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005248,Johannes,Wagner,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005059,Schahina,Gambir,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005089,Verena,Hubertz,SPD,SPD
11005144,Franziska,Mascheck,SPD,SPD
11005180,Paula,Piechotta,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005192,Jessica,Rosenthal,SPD,SPD
11005245,Niklas,Wagener,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005247,Carolin,Wagner,SPD,SPD
11005001,Valentin,Abel,FDP,FDP
11005005,Adis,Ahmetovic,SPD,SPD
11005012,Maik,Außendorf,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005051,Heike,Engelhardt,SPD,SPD
11005080,Kathrin,Henneberger,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005108,Annika,Klose,SPD,SPD
11005111,Chantal,Kopf,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005113,Laura,Kraft,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005136,Kristine,Lütke,FDP,FDP
11005147,Andreas,Mehltretter,SPD,SPD
11005169,Jörg,Nürnberger,SPD,SPD
11005173,Julian,Pahlke,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005198,Catarina,dos Santos-Wintz,CDU,CDU/CSU
11005229,Ralf,Stegner,SPD,SPD
11005242,Katrin,Uhlig,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005254,Maria-Lena,Weiss,CDU,CDU/CSU
11005258,Tobias,Winkler,CSU,CDU/CSU
11005261,Mechthilde,Wittmann,CSU,CDU/CSU
11005266,Nicolas,Zippelius,CDU,CDU/CSU
11005302,Emily,Vontz,,SPD
11005305,Rainer,Rothfuß,AfD,AfD
11005003,Katja,Adler,FDP,FDP
11005007,Ali,Al-Dailami,DIE LINKE.,Die Linke
11005015,Daniel,Baldy,SPD,SPD
11005042,Thomas,Dietz,AfD,AfD
11005048,Ralph,Edelhäußer,CSU,CDU/CSU
11005063,Jonas,Geissler,CSU,CDU/CSU
11005066,Hannes,Gnauck,AfD,AfD
11005074,Robert,Habeck,BÜNDNIS 90/DIE GRÜNEN,
11005109,Tim,Klüssendorf,SPD,SPD
11005114,Philip,Krämer,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005133,Denise,Loop,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005186,Heidi,Reichinnek,DIE LINKE.,Die Linke
11005240,Anja,Troff-Schaffarzyk,SPD,SPD
11005306,Ana-Maria,Trasnea,SPD,SPD
11005044,Falko,Droßmann,SPD,SPD
11005061,Martin,Gassner-Herz,FDP,FDP
11005122,Andreas,Larem,SPD,SPD
11005139,Erik,von Malottki,SPD,SPD
11005145,Zoe,Mayer,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005193,Thomas,Röwekamp,CDU,CDU/CSU
11005209,Eugen,Schmidt,AfD,AfD
11005246,Robin,Wagener,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005019,Katharina,Beck,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005052,Martina,Englhardt-Kopf,CSU,CDU/CSU
11005067,Christian,Görke,DIE LINKE.,Die Linke
11005081,Anke,Hennig,SPD,SPD
11005082,Susanne,Hennig-Wellsow,DIE LINKE.,Die Linke
11005120,Sarah,Lahrkamp,SPD,SPD
11005152,Swantje Henrike,Michaelsen,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005222,Melis,Sekmen,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005232,Klaus,Stöber,AfD,AfD
11004959,Dorothee,Martin,SPD,SPD
11005006,Reem,Alabali-Radovan,SPD,
11005043,Felix,Döring,SPD,SPD
11005058,Maximilian,Funke-Kaiser,FDP,FDP
11005070,Armin,Grau,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005088,Jasmina,Hostert,SPD,SPD
11005098,Anna,Kassautzki,SPD,SPD
11005253,Saskia,Weishaupt,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005027,Ingo,Bodtke,FDP,FDP
11005097,Carlos,Kasper,SPD,SPD
11005138,Klaus,Mack,CDU,CDU/CSU
11005153,Kathrin,Michel,SPD,SPD
11005194,Thorsten,Rudolph,SPD,SPD
11005035,Yannick,Bury,CDU,CDU/CSU
11005046,Axel,Echeverria,SPD,SPD
11005056,Sebastian,Fiedler,SPD,SPD
11005137,Tanja,Machalet,SPD,SPD
11005216,Anja,Schulz,FDP,FDP
11005238,Jens,Teutrine,FDP,FDP
11005057,Fabian,Funke,SPD,SPD
11005077,Frauke,Heiligenstadt,SPD,SPD
11005086,Bruno,Hönel,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005213,Christian,Schreider,SPD,SPD
11005256,Lena,Werner,SPD,SPD
11005273,Claudia,Raffelhüschen,FDP,FDP
11005099,Malte,Kaufmann,AfD,AfD
11005162,Sascha,Müller,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005170,Lennard,Oehl,SPD,SPD
11005202,Rebecca,Schamber,SPD,SPD
11005252,Melanie,Wegling,SPD,SPD
11005212,Marlene,Schönberger,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005072,Serap,Güler,CDU,CDU/CSU
11005107,Kristian,Klinck,SPD,SPD
11005226,Merle,Spellerberg,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005174,Christos,Pantazis,SPD,SPD
11005000,Sanae,Abdi,SPD,SPD
11005029,Gereon,Bollmann,AfD,AfD
11005054,Ariane,Fäscher,SPD,SPD
11005087,Franziska,Hoppermann,CDU,CDU/CSU
11005175,Wiebke,Papenbrock,SPD,SPD
11005200,Jamila,Schäfer,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005204,Johannes,Schätzl,SPD,SPD
11003153,Klaus,Holetschek,CSU,
11005225,Anne Monika,Spallek,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005009,Dagmar,Andres,SPD,SPD
11005124,Kevin,Leiser,SPD,SPD
11005189,Frank,Rinck,AfD,AfD
11005069,Ingeborg,Gräßle,CDU,CDU/CSU
11005126,Barbara,Lenk,AfD,AfD
11005183,Volker,Redder,FDP,FDP
11005102,Michael,Kellner,BÜNDNIS 90/DIE GRÜNEN,
11005298,Michael,Sacher,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005017,Karl,Bär,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005148,Takis,Mehmet Ali,SPD,SPD
11005093,Anne,Janssen,CDU,CDU/CSU
11005308,Christian,Bartelt,FDP,FDP
11005071,Sabine,Grützmacher,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005085,Susanne,Hierl,CSU,CDU/CSU
11005156,Mike,Moncsek,AfD,AfD
11005210,Jan Wenzel,Schmidt,AfD,AfD
11005121,Ricarda,Lang,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11003585,Anna,Lührmann,BÜNDNIS 90/DIE GRÜNEN,
11005101,Rainer Johannes,Keller,SPD,SPD
11005244,Oliver,Vogt,CDU,CDU/CSU
11005064,Knut,Gerschau,FDP,FDP
11004952,Reginald,Hanke,FDP,FDP
11005127,Christian,Leye,DIE LINKE.,Die Linke
